España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Norte (3.014m) desde Cavallers por río Malo,Ascensiones alta montaña;Cimas de 3.000m,Alta (PD+),Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,13 km,1.730,3.014,+800m | +514m / -1.314m,2:40h | 6:10h,Embalse de Cavallers,Caldes de Boí,https://www.rutaspirineos.org/rutas/besiberri-nord-desde-cavallers-por-riu-malo,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Sur (3.024m) y Comaloforno (3.029m) por los lagos de Gémena,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",15 km,1.497,3.029,1.600m,10:10h,Aparcamiento de Toirigo,Boí,https://www.rutaspirineos.org/rutas/besiberri-sud-y-comaloforno-por-los-estanys-de-gemena,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Pont de Suert,Camino del Agua en la Alta Ribagorza,"Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"27,5 km",820,1.446,1.250m,8:50h,Área de la fuente de Mena,El Pont de Suert,https://www.rutaspirineos.org/rutas/camino-del-agua-pont-de-suert-caldes-de-boi,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-camino-del-agua-pont-de-suert-caldes-de-boi_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Adons,Camino del Portús desde Adons,Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"5,5 km",1.319,1.690,430m,2:10h,Adons,Adons,https://www.rutaspirineos.org/rutas/camino-del-portus-desde-adons,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-camino-del-portus-desde-adons_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.824,2.427,625m,5:30h,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-aiguestortes-estany-llong-redo-portarro-espot_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos de Gémena en el valle de Llubriqueto,"Paisajes pintorescos;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,3 km",1.497,2.300,803m,5:25h,Aparcamiento de Toirigo,Boí,https://www.rutaspirineos.org/rutas/estanys-de-gemena-en-el-valle-de-llubriqueto,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-estanys-de-gemena-en-el-valle-de-llubriqueto_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos del Pessó desde el puente de la Ribera,"Lagos, ríos y cascadas;Paisajes pintorescos",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,2 km",1.692,2.493,800m,6:00h,Pont de la Ribera,Taüll,https://www.rutaspirineos.org/rutas/estanys-del-pesso-vall-de-sant-marti-boi,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-estanys-del-pesso-vall-de-sant-marti-boi_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Montardo (2.833m) y Montardo Petit (2.781m) por Cavallers,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",19 km,1.730,2.883,+435m | +650m/-1.050m,2:15h | 5:35h,Embalse de Cavallers,Caldes de Boí,https://www.rutaspirineos.org/rutas/montardo-y-petit-montardo-por-cavallers,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-montardo-y-petit-montardo-por-cavallers_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Barruera,Paseo por el Salencar de Barruera,"Lagos, ríos y cascadas;Flora y fauna;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,2 km",1.082,1.095,13m,1:10h,Iglesia de Sant Feliu de Barruera,Barruera,https://www.rutaspirineos.org/rutas/el-salencar-de-barruera,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-el-salencar-de-barruera_es.pdf,09/11/2025
España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Planell de Aigüestortes y Estany de la Llebreta,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,6 km",1.380,1.830,500m,4:10h,Palanca de la Molina,Boí,https://www.rutaspirineos.org/rutas/ruta-de-la-lludriga-llebreta-planell-aiguestortes,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-ruta-de-la-lludriga-llebreta-planell-aiguestortes_es.pdf,09/11/2025
